M,N,K
1, 1280, 8192
32, 1280, 8192
64, 1280, 8192
128, 1280, 8192
192, 1280, 8192
256, 1280, 8192
320, 1280, 8192
512, 1280, 8192
1024, 1280, 8192
2048, 1280, 8192
4096, 1280, 8192
8192, 1280, 8192
16384, 1280, 8192
1, 8192, 1024
32, 8192, 1024
64, 8192, 1024
128, 8192, 1024
192, 8192, 1024
256, 8192, 1024
320, 8192, 1024
512, 8192, 1024
1024, 8192, 1024
2048, 8192, 1024
4096, 8192, 1024
8192, 8192, 1024
16384, 8192, 1024
1, 1280, 4096
32, 1280, 4096
64, 1280, 4096
128, 1280, 4096
192, 1280, 4096
256, 1280, 4096
320, 1280, 4096
512, 1280, 4096
1024, 1280, 4096
2048, 1280, 4096
4096, 1280, 4096
8192, 1280, 4096
16384, 1280, 4096
1, 4096, 1024
32, 4096, 1024
64, 4096, 1024
128, 4096, 1024
192, 4096, 1024
256, 4096, 1024
320, 4096, 1024
512, 4096, 1024
1024, 4096, 1024
2048, 4096, 1024
4096, 4096, 1024
8192, 4096, 1024
16384, 4096, 1024